timestamp,pump_id,vibration_mm_s,bearing_temperature_c,motor_current_a,running_hours
2026-02-02 08:00,P-1,2.1,57.0,18.0,1000
2026-02-02 09:00,P-2,2.18,57.5,18.23,1006
2026-02-02 10:00,P-3,2.26,57.9,18.46,1012
2026-02-02 11:00,P-1,2.34,58.4,18.69,1018
2026-02-02 12:00,P-2,2.42,58.8,18.92,1024
2026-02-02 13:00,P-3,2.5,59.2,19.15,1030
2026-02-02 14:00,P-1,2.58,59.7,19.38,1036
2026-02-02 15:00,P-2,2.66,60.1,19.61,1042
2026-02-02 16:00,P-3,2.74,60.6,19.84,1048
2026-02-02 17:00,P-1,2.82,61.0,18.0,1054
2026-02-02 18:00,P-2,2.9,61.5,18.23,1060
2026-02-02 19:00,P-3,2.98,62.0,18.46,1066
2026-02-02 20:00,P-1,2.1,62.4,18.69,1072
2026-02-02 21:00,P-2,2.18,62.9,18.92,1078
2026-02-02 22:00,P-3,2.26,63.3,19.15,1084
2026-02-02 23:00,P-1,2.34,63.8,19.38,1090
2026-02-03 00:00,P-2,2.42,57.0,19.61,1096
2026-02-03 01:00,P-3,2.5,57.5,19.84,1102
2026-02-03 02:00,P-1,2.58,57.9,18.0,1108
2026-02-03 03:00,P-2,2.66,58.4,18.23,1114
2026-02-03 04:00,P-3,2.74,58.8,18.46,1120
2026-02-03 05:00,P-1,2.82,59.2,18.69,1126
2026-02-03 06:00,P-2,2.9,59.7,18.92,1132
2026-02-03 07:00,P-3,2.98,60.1,19.15,1138
2026-02-03 08:00,P-1,2.1,60.6,19.38,1144
2026-02-03 09:00,P-2,2.18,61.0,19.61,1150
2026-02-03 10:00,P-3,2.26,61.5,19.84,1156
2026-02-03 11:00,P-1,2.34,62.0,18.0,1162
2026-02-03 12:00,P-2,2.42,62.4,18.23,1168
2026-02-03 13:00,P-3,2.5,62.9,18.46,1174
2026-02-03 14:00,P-1,2.58,63.3,18.69,1180
2026-02-03 15:00,P-2,2.66,63.8,18.92,1186
2026-02-03 16:00,P-3,2.74,57.0,19.15,1192
2026-02-03 17:00,P-1,2.82,57.5,19.38,1198
2026-02-03 18:00,P-2,2.9,57.9,19.61,1204
2026-02-03 19:00,P-3,2.98,58.4,19.84,1210
2026-02-03 20:00,P-1,2.1,58.8,18.0,1216
2026-02-03 21:00,P-2,2.18,59.2,18.23,1222
2026-02-03 22:00,P-3,2.26,59.7,18.46,1228
2026-02-03 23:00,P-1,2.34,60.1,18.69,1234
2026-02-04 00:00,P-2,2.42,60.6,18.92,1240
2026-02-04 01:00,P-3,2.5,61.0,19.15,1246
2026-02-04 02:00,P-1,2.58,61.5,19.38,1252
2026-02-04 03:00,P-2,3.56,66.0,19.61,1258
2026-02-04 04:00,P-3,3.64,66.4,19.84,1264
2026-02-04 05:00,P-1,2.82,62.9,18.0,1270
2026-02-04 06:00,P-2,2.9,63.3,18.23,1276
2026-02-04 07:00,P-3,2.98,63.8,18.46,1282
2026-02-04 08:00,P-1,2.1,57.0,18.69,1288
2026-02-04 09:00,P-2,2.18,57.5,18.92,1294
2026-02-04 10:00,P-3,2.26,57.9,19.15,1300
2026-02-04 11:00,P-1,2.34,58.4,19.38,1306
2026-02-04 12:00,P-2,2.42,58.8,19.61,1312
2026-02-04 13:00,P-3,2.5,59.2,19.84,1318
2026-02-04 14:00,P-1,2.58,59.7,18.0,1324
2026-02-04 15:00,P-2,2.66,60.1,18.23,1330
2026-02-04 16:00,P-3,2.74,60.6,18.46,1336
2026-02-04 17:00,P-1,2.82,61.0,18.69,1342
2026-02-04 18:00,P-2,2.9,61.5,18.92,1348
2026-02-04 19:00,P-3,2.98,62.0,19.15,1354
2026-02-04 20:00,P-1,2.1,62.4,19.38,1360
2026-02-04 21:00,P-2,2.18,62.9,19.61,1366
2026-02-04 22:00,P-3,2.26,63.3,19.84,1372
2026-02-04 23:00,P-1,2.34,63.8,18.0,1378
2026-02-05 00:00,P-2,2.42,57.0,18.23,1384
2026-02-05 01:00,P-3,2.5,57.5,18.46,1390
2026-02-05 02:00,P-1,2.58,57.9,18.69,1396
2026-02-05 03:00,P-2,2.66,58.4,18.92,1402
2026-02-05 04:00,P-3,2.74,58.8,19.15,1408
2026-02-05 05:00,P-1,2.82,59.2,19.38,1414
2026-02-05 06:00,P-2,2.9,59.7,19.61,1420
2026-02-05 07:00,P-3,2.98,60.1,19.84,1426
2026-02-05 08:00,P-1,2.1,60.6,18.0,1432
2026-02-05 09:00,P-2,2.18,61.0,18.23,1438
2026-02-05 10:00,P-3,2.26,61.5,18.46,1444
2026-02-05 11:00,P-1,2.34,62.0,18.69,1450
2026-02-05 12:00,P-2,2.42,62.4,18.92,1456
2026-02-05 13:00,P-3,2.5,62.9,19.15,1462
2026-02-05 14:00,P-1,2.58,63.3,19.38,1468
2026-02-05 15:00,P-2,2.66,63.8,19.61,1474
2026-02-05 16:00,P-3,2.74,57.0,19.84,1480
2026-02-05 17:00,P-1,2.82,57.5,18.0,1486
2026-02-05 18:00,P-2,2.9,57.9,18.23,1492
2026-02-05 19:00,P-3,2.98,58.4,18.46,1498
2026-02-05 20:00,P-1,2.1,58.8,18.69,1504
2026-02-05 21:00,P-2,2.18,59.2,18.92,1510
2026-02-05 22:00,P-3,2.26,59.7,19.15,1516
2026-02-05 23:00,P-1,2.34,60.1,19.38,1522
2026-02-06 00:00,P-2,2.42,60.6,19.61,1528
2026-02-06 01:00,P-3,2.5,61.0,19.84,1534
2026-02-06 02:00,P-1,2.58,61.5,18.0,1540
2026-02-06 03:00,P-2,2.66,62.0,18.23,1546
2026-02-06 04:00,P-3,2.74,62.4,18.46,1552
2026-02-06 05:00,P-1,3.72,66.8,18.69,1558
2026-02-06 06:00,P-2,3.8,67.3,18.92,1564
2026-02-06 07:00,P-3,2.98,63.8,19.15,1570
2026-02-06 08:00,P-1,2.1,57.0,19.38,1576
2026-02-06 09:00,P-2,2.18,57.5,19.61,1582
2026-02-06 10:00,P-3,2.26,57.9,19.84,1588
2026-02-06 11:00,P-1,2.34,58.4,18.0,1594
2026-02-06 12:00,P-2,2.42,58.8,18.23,1600
2026-02-06 13:00,P-3,2.5,59.2,18.46,1606
2026-02-06 14:00,P-1,2.58,59.7,18.69,1612
2026-02-06 15:00,P-2,2.66,60.1,18.92,1618
2026-02-06 16:00,P-3,2.74,60.6,19.15,1624
2026-02-06 17:00,P-1,2.82,61.0,19.38,1630
2026-02-06 18:00,P-2,2.9,61.5,19.61,1636
2026-02-06 19:00,P-3,2.98,62.0,19.84,1642
2026-02-06 20:00,P-1,2.1,62.4,18.0,1648
2026-02-06 21:00,P-2,2.18,62.9,18.23,1654
2026-02-06 22:00,P-3,2.26,63.3,18.46,1660
2026-02-06 23:00,P-1,2.34,63.8,18.69,1666
2026-02-07 00:00,P-2,2.42,57.0,18.92,1672
