timestamp,batch_id,reactor,temperature_c,pressure_bar,flow_m3_h,conversion_percent,ph,operator,sample_status
2026-01-05 08:00,B1001,R1,73.0,4.65,11.7,87.5,6.7,Asha,OK
2026-01-05 09:00,B1001,R2,73.6,4.71,11.81,88.0,6.79,Bimal,OK
2026-01-05 10:00,B1001,R3,74.2,4.76,11.92,88.5,6.88,Chen,OK
2026-01-05 11:00,B1001,R1,74.9,4.82,12.03,89.1,6.97,Deepa,OK
2026-01-05 12:00,B1001,R2,75.5,4.87,12.14,89.6,7.06,Asha,OK
2026-01-05 13:00,B1001,R3,76.1,4.93,12.25,90.1,7.15,Bimal,OK
2026-01-05 14:00,B1001,R1,76.7,4.98,12.36,90.6,7.24,Chen,OK
2026-01-05 15:00,B1001,R2,77.3,5.04,12.47,91.1,6.7,Deepa,OK
2026-01-05 16:00,B1001,R3,78.0,5.09,12.58,91.7,6.79,Asha,OK
2026-01-05 17:00,B1001,R1,78.6,5.15,11.7,92.2,6.88,Bimal,OK
2026-01-05 18:00,B1002,R2,79.2,5.2,11.81,92.7,6.97,Chen,OK
2026-01-05 19:00,B1002,R3,79.8,4.65,11.92,93.2,7.06,Deepa,OK
2026-01-05 20:00,B1002,R1,80.4,4.71,12.03,93.7,7.15,Asha,OK
2026-01-05 21:00,B1002,R2,81.1,4.76,12.14,87.5,7.24,Bimal,OK
2026-01-05 22:00,B1002,R3,81.7,4.82,12.25,88.0,6.7,Chen,OK
2026-01-05 23:00,B1002,R1,82.3,4.87,12.36,88.5,6.79,Deepa,OK
2026-01-06 00:00,B1002,R2,82.9,4.93,12.47,89.1,6.88,Asha,OK
2026-01-06 01:00,B1002,R3,73.0,4.98,12.58,89.6,6.97,Bimal,NOT TAKEN
2026-01-06 02:00,B1002,R1,73.6,5.04,11.7,90.1,7.06,Chen,OK
2026-01-06 03:00,B1002,R2,74.2,5.09,11.81,90.6,7.15,Deepa,OK
2026-01-06 04:00,B1003,R3,74.9,5.15,11.92,91.1,7.24,Asha,OK
2026-01-06 05:00,B1003,R1,75.5,5.2,12.03,91.7,6.7,Bimal,OK
2026-01-06 06:00,B1003,R2,76.1,4.65,12.14,92.2,6.79,Chen,OK
2026-01-06 07:00,B1003,R3,76.7,4.71,12.25,92.7,6.88,Deepa,OK
2026-01-06 08:00,B1003,R1,77.3,4.76,12.36,93.2,6.97,Asha,OK
2026-01-06 09:00,B1003,R2,78.8,4.82,12.47,93.7,7.06,Bimal,OK
2026-01-06 10:00,B1003,R3,79.4,4.87,12.58,87.5,7.15,Chen,OK
2026-01-06 11:00,B1003,R1,80.0,4.93,11.7,88.0,7.24,Deepa,OK
2026-01-06 12:00,B1003,R2,80.6,4.98,11.81,88.5,6.7,Asha,OK
2026-01-06 13:00,B1003,R3,81.2,5.04,11.92,89.1,6.79,Bimal,OK
2026-01-06 14:00,B1004,R1,81.9,5.13,12.03,89.6,6.88,Chen,OK
2026-01-06 15:00,B1004,R2,82.5,5.19,12.14,90.1,6.97,Deepa,OK
2026-01-06 16:00,B1004,R3,83.1,5.24,12.25,90.6,7.06,Asha,OK
2026-01-06 17:00,B1004,R1,83.7,4.69,12.36,91.1,7.15,Bimal,OK
2026-01-06 18:00,B1004,R2,73.8,4.75,12.47,91.7,7.24,Chen,OK
2026-01-06 19:00,B1004,R3,74.4,4.8,12.58,92.2,6.7,Deepa,OK
2026-01-06 20:00,B1004,R1,75.0,4.86,11.7,92.7,6.79,Asha,OK
2026-01-06 21:00,B1004,R2,75.7,4.91,11.81,93.2,6.88,Bimal,OK
2026-01-06 22:00,B1004,R3,76.3,4.97,11.92,93.7,6.97,Chen,OK
2026-01-06 23:00,B1004,R1,76.9,5.02,12.03,87.5,7.06,Deepa,OK
2026-01-07 00:00,B1005,R2,77.5,5.08,12.14,88.3,7.15,Asha,OK
2026-01-07 01:00,B1005,R3,78.1,5.13,12.25,88.8,7.24,Bimal,OK
2026-01-07 02:00,B1005,R1,78.8,5.19,12.36,89.4,6.7,Chen,OK
2026-01-07 03:00,B1005,R2,79.4,5.24,12.47,89.9,6.79,Deepa,OK
2026-01-07 04:00,B1005,R3,80.0,4.69,12.58,90.4,6.88,Asha,OK
2026-01-07 05:00,B1005,R1,80.6,4.75,11.7,90.9,6.97,Bimal,OK
2026-01-07 06:00,B1005,R2,81.2,4.8,11.81,91.4,7.06,Chen,OK
2026-01-07 07:00,B1005,R3,81.9,4.86,11.92,92.0,7.15,Deepa,OK
2026-01-07 08:00,B1005,R1,82.5,4.91,12.03,92.5,7.24,Asha,OK
2026-01-07 09:00,B1005,R2,83.1,4.97,12.14,93.0,6.7,Bimal,OK
2026-01-07 10:00,B1006,R3,84.5,5.02,12.25,93.5,6.79,Chen,OK
2026-01-07 11:00,B1006,R1,74.6,5.08,12.36,94.0,6.88,Deepa,OK
2026-01-07 12:00,B1006,R2,75.2,5.13,12.47,87.8,6.97,Asha,OK
2026-01-07 13:00,B1006,R3,75.8,5.19,12.58,88.3,7.06,Bimal,OK
2026-01-07 14:00,B1006,R1,76.5,5.24,11.7,88.8,7.15,Chen,OK
2026-01-07 15:00,B1006,R2,77.1,4.69,11.81,89.4,7.24,Deepa,OK
2026-01-07 16:00,B1006,R3,77.7,4.75,11.92,89.9,6.7,Asha,NOT TAKEN
2026-01-07 17:00,B1006,R1,78.3,4.8,12.03,90.4,6.79,Bimal,OK
2026-01-07 18:00,B1006,R2,78.9,4.86,12.14,90.9,6.88,Chen,OK
2026-01-07 19:00,B1006,R3,79.6,4.91,12.25,91.4,6.97,Deepa,OK
2026-01-07 20:00,B1007,R1,80.2,5.01,12.36,92.0,7.06,Asha,OK
2026-01-07 21:00,B1007,R2,80.8,5.06,12.47,92.5,7.15,Bimal,OK
2026-01-07 22:00,B1007,R3,81.4,5.12,12.58,93.0,7.24,Chen,OK
2026-01-07 23:00,B1007,R1,82.0,5.17,11.7,93.5,6.7,Deepa,OK
2026-01-08 00:00,B1007,R2,82.7,5.23,11.81,94.0,6.79,Asha,OK
2026-01-08 01:00,B1007,R3,83.3,5.28,11.92,87.8,6.88,Bimal,OK
2026-01-08 02:00,B1007,R1,83.9,4.73,12.03,88.3,6.97,Chen,OK
2026-01-08 03:00,B1007,R2,84.5,4.79,12.14,88.8,7.06,Deepa,OK
2026-01-08 04:00,B1007,R3,74.6,4.84,12.25,89.4,7.15,Asha,OK
2026-01-08 05:00,B1007,R1,75.2,4.9,12.36,89.9,7.24,Bimal,OK
2026-01-08 06:00,B1008,R2,75.8,4.95,12.47,90.4,6.7,Chen,OK
