timestamp,batch_id,reactor,inlet_temperature_c,conversion_percent,product_purity_percent,lab_result
2026-02-02 08:00,Q2001,R1,72.0,88.5,96.2,REVIEW
2026-02-02 09:00,Q2001,R2,72.6,88.5,96.39,REVIEW
2026-02-02 10:00,Q2001,R3,73.2,89.0,96.58,REVIEW
2026-02-02 11:00,Q2001,R1,73.8,89.9,96.77,REVIEW
2026-02-02 12:00,Q2001,R2,74.4,89.9,96.96,REVIEW
2026-02-02 13:00,Q2001,R3,75.0,90.4,97.15,PASS
2026-02-02 14:00,Q2001,R1,75.6,91.4,97.34,PASS
2026-02-02 15:00,Q2001,R2,76.2,91.4,97.53,PASS
2026-02-02 16:00,Q2002,R3,76.8,91.8,97.72,PASS
2026-02-02 17:00,Q2002,R1,72.0,92.8,97.91,PASS
2026-02-02 18:00,Q2002,R2,72.6,92.8,96.2,PASS
2026-02-02 19:00,Q2002,R3,73.2,93.3,96.39,PASS
2026-02-02 20:00,Q2002,R1,73.8,94.3,96.58,PASS
2026-02-02 21:00,Q2002,R2,74.4,94.2,96.77,PASS
2026-02-02 22:00,Q2002,R3,75.0,88.0,96.96,REVIEW
2026-02-02 23:00,Q2002,R1,75.6,89.0,97.15,REVIEW
2026-02-03 00:00,Q2003,R2,76.2,89.0,97.34,REVIEW
2026-02-03 01:00,Q2003,R3,76.8,89.4,97.53,REVIEW
2026-02-03 02:00,Q2003,R1,72.0,90.4,97.72,PASS
2026-02-03 03:00,Q2003,R2,72.6,90.4,97.91,PASS
2026-02-03 04:00,Q2003,R3,73.2,90.9,96.2,PASS
2026-02-03 05:00,Q2003,R1,73.8,91.9,96.39,PASS
2026-02-03 06:00,Q2003,R2,74.4,91.8,96.58,PASS
2026-02-03 07:00,Q2003,R3,75.0,92.3,96.77,PASS
2026-02-03 08:00,Q2004,R1,75.6,93.3,96.96,PASS
2026-02-03 09:00,Q2004,R2,76.2,93.3,97.15,PASS
2026-02-03 10:00,Q2004,R3,76.8,93.8,97.34,PASS
2026-02-03 11:00,Q2004,R1,72.0,94.7,97.53,PASS
2026-02-03 12:00,Q2004,R2,72.6,88.0,97.72,REVIEW
2026-02-03 13:00,Q2004,R3,73.2,88.5,97.91,REVIEW
2026-02-03 14:00,Q2004,R1,73.8,89.5,96.2,REVIEW
