timestamp,reactor,temperature_c,pressure_bar,flow_m3_h,relief_valve_state
2026-02-02 08:00,R1,78.0,4.7,12.0,CLOSED
2026-02-02 09:00,R2,78.5,4.75,12.12,CLOSED
2026-02-02 10:00,R1,79.1,4.8,12.24,CLOSED
2026-02-02 11:00,R2,79.7,4.85,12.36,CLOSED
2026-02-02 12:00,R1,80.2,4.9,12.48,CLOSED
2026-02-02 13:00,R2,80.8,4.95,12.6,CLOSED
2026-02-02 14:00,R1,81.3,5.0,12.72,CLOSED
2026-02-02 15:00,R2,81.8,5.05,12.84,CLOSED
2026-02-02 16:00,R1,82.4,5.1,12.0,CLOSED
2026-02-02 17:00,R2,83.0,5.15,12.12,CLOSED
2026-02-02 18:00,R1,83.5,4.7,12.24,CLOSED
2026-02-02 19:00,R2,84.0,4.75,12.36,CLOSED
2026-02-02 20:00,R1,84.6,4.8,12.48,CLOSED
2026-02-02 21:00,R2,78.0,4.85,12.6,CLOSED
2026-02-02 22:00,R1,78.5,4.9,12.72,CLOSED
2026-02-02 23:00,R2,79.1,4.95,12.84,CLOSED
2026-02-03 00:00,R1,79.7,5.0,12.0,CLOSED
2026-02-03 01:00,R2,80.2,5.05,12.12,CLOSED
2026-02-03 02:00,R1,80.8,5.1,12.24,CLOSED
2026-02-03 03:00,R2,81.3,5.15,12.36,CLOSED
2026-02-03 04:00,R1,81.8,4.7,12.48,CLOSED
2026-02-03 05:00,R2,82.4,4.75,12.6,CLOSED
2026-02-03 06:00,R1,83.0,4.8,12.72,CLOSED
2026-02-03 07:00,R2,83.5,4.85,12.84,CLOSED
2026-02-03 08:00,R1,84.0,4.9,12.0,CLOSED
2026-02-03 09:00,R2,84.6,4.95,12.12,CLOSED
2026-02-03 10:00,R1,78.0,5.0,12.24,CLOSED
2026-02-03 11:00,R2,87.5,5.8,12.36,CLOSED
2026-02-03 12:00,R1,88.1,5.85,12.48,CLOSED
2026-02-03 13:00,R2,79.7,5.15,12.6,CLOSED
2026-02-03 14:00,R1,80.2,4.7,12.72,CLOSED
2026-02-03 15:00,R2,80.8,4.75,12.84,CLOSED
2026-02-03 16:00,R1,81.3,4.8,12.0,CLOSED
2026-02-03 17:00,R2,81.8,4.85,12.12,CLOSED
2026-02-03 18:00,R1,82.4,4.9,12.24,CLOSED
2026-02-03 19:00,R2,83.0,4.95,12.36,CLOSED
2026-02-03 20:00,R1,83.5,5.0,12.48,CLOSED
2026-02-03 21:00,R2,84.0,5.05,12.6,CLOSED
2026-02-03 22:00,R1,84.6,5.1,12.72,CLOSED
2026-02-03 23:00,R2,78.0,5.15,12.84,CLOSED
2026-02-04 00:00,R1,78.5,4.7,12.0,CLOSED
2026-02-04 01:00,R2,79.1,4.75,12.12,CLOSED
2026-02-04 02:00,R1,79.7,4.8,12.24,CLOSED
2026-02-04 03:00,R2,80.2,4.85,12.36,CLOSED
2026-02-04 04:00,R1,80.8,4.9,12.48,CLOSED
2026-02-04 05:00,R2,81.3,4.95,12.6,CLOSED
2026-02-04 06:00,R1,81.8,5.0,12.72,CLOSED
2026-02-04 07:00,R2,82.4,5.05,12.84,CLOSED
2026-02-04 08:00,R1,83.0,5.1,12.0,CLOSED
2026-02-04 09:00,R2,83.5,5.15,12.12,CLOSED
2026-02-04 10:00,R1,84.0,4.7,12.24,CLOSED
2026-02-04 11:00,R2,84.6,4.75,12.36,CLOSED
2026-02-04 12:00,R1,78.0,4.8,12.48,CLOSED
2026-02-04 13:00,R2,78.5,4.85,12.6,CLOSED
2026-02-04 14:00,R1,79.1,4.9,12.72,CLOSED
2026-02-04 15:00,R2,79.7,4.95,12.84,CLOSED
2026-02-04 16:00,R1,80.2,5.0,12.0,CLOSED
2026-02-04 17:00,R2,80.8,5.05,12.12,CLOSED
2026-02-04 18:00,R1,81.3,5.1,12.24,CLOSED
2026-02-04 19:00,R2,81.8,5.15,12.36,CLOSED
2026-02-04 20:00,R1,82.4,4.7,12.48,CLOSED
2026-02-04 21:00,R2,83.0,4.75,12.6,CLOSED
2026-02-04 22:00,R1,83.5,4.8,12.72,CLOSED
2026-02-04 23:00,R2,84.0,4.85,12.84,CLOSED
2026-02-05 00:00,R1,84.6,4.9,12.0,CLOSED
2026-02-05 01:00,R2,78.0,4.95,12.12,CLOSED
2026-02-05 02:00,R1,78.5,5.0,12.24,CLOSED
2026-02-05 03:00,R2,79.1,5.05,12.36,CLOSED
2026-02-05 04:00,R1,79.7,5.1,12.48,CLOSED
2026-02-05 05:00,R2,80.2,5.15,12.6,CLOSED
2026-02-05 06:00,R1,80.8,4.7,12.72,CLOSED
2026-02-05 07:00,R2,81.3,4.75,12.84,CLOSED
2026-02-05 08:00,R1,81.8,4.8,12.0,CLOSED
2026-02-05 09:00,R2,82.4,4.85,12.12,CLOSED
2026-02-05 10:00,R1,83.0,4.9,12.24,CLOSED
2026-02-05 11:00,R2,83.5,4.95,12.36,CLOSED
2026-02-05 12:00,R1,84.0,5.0,12.48,CLOSED
2026-02-05 13:00,R2,84.6,5.05,12.6,CLOSED
